"Election.to.the.Bihar.Legislative.Assembly.from.the.230..Konch.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"
"385"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"Total"	""	"807"	""	""	"71"	""	""	""	"249"	""	""	""	""	"433"	""	""	""	""	"11"	""	""	""	""	"3"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"3"	""	""	""	""	"138"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"1768"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1768"	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"Election to the Bihar Legislative Assembly from the 230- Konch Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"Round"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	"No. of"	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total"	""	""	""	""	""	""	""	""	""	""	""
"394"	"No."	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	"rejected"	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	""	""	""
"395"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""	""	""	""
"396"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"397"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	""	""	""
"398"	"1"	"3708"	""	""	"296"	""	""	""	"318"	""	""	""	"2607"	""	""	""	""	""	"28"	""	""	""	"8"	""	""	""	""	""	""	"54"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"130"	""	""	""	""	""	""	"21"	""	""	""	""	""	"595"	""	""	""	""	""	"41"	""	""	""	""	""	""	"7823"	""	""	""	""	""	"0"	""	""	""	""	""	"7823"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"2"	"4446"	""	""	"152"	""	""	""	"208"	""	""	""	"2340"	""	""	""	""	""	"27"	""	""	""	"10"	""	""	""	""	""	""	"47"	""	""	""	""	""	""	"29"	""	""	""	""	""	""	"284"	""	""	""	""	""	""	"21"	""	""	""	""	""	"381"	""	""	""	""	""	"51"	""	""	""	""	""	""	"7996"	""	""	""	""	""	"0"	""	""	""	""	""	"7996"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"3"	"1366"	""	""	"796"	""	""	""	"836"	""	""	""	"2165"	""	""	""	""	""	"33"	""	""	""	"12"	""	""	""	""	""	""	"73"	""	""	""	""	""	""	"38"	""	""	""	""	""	""	"306"	""	""	""	""	""	""	"21"	""	""	""	""	""	"414"	""	""	""	""	""	"66"	""	""	""	""	""	""	"6126"	""	""	""	""	""	"0"	""	""	""	""	""	"6126"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"4"	"2763"	""	""	"610"	""	""	""	"782"	""	""	""	"1729"	""	""	""	""	""	"70"	""	""	""	"23"	""	""	""	""	""	""	"84"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	"258"	""	""	""	""	""	""	"30"	""	""	""	""	""	"612"	""	""	""	""	""	"81"	""	""	""	""	""	""	"7077"	""	""	""	""	""	"0"	""	""	""	""	""	"7077"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"5"	"1514"	""	""	"578"	""	""	""	"330"	""	""	""	"1326"	""	""	""	""	""	"43"	""	""	""	"24"	""	""	""	""	""	""	"78"	""	""	""	""	""	""	"40"	""	""	""	""	""	""	"38"	""	""	""	""	""	""	"25"	""	""	""	""	""	"588"	""	""	""	""	""	"85"	""	""	""	""	""	""	"4669"	""	""	""	""	""	"0"	""	""	""	""	""	"4669"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"6"	"2379"	""	""	"402"	""	""	""	"138"	""	""	""	"1850"	""	""	""	""	""	"30"	""	""	""	"16"	""	""	""	""	""	""	"76"	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"123"	""	""	""	""	""	""	"30"	""	""	""	""	""	"566"	""	""	""	""	""	"75"	""	""	""	""	""	""	"5708"	""	""	""	""	""	"0"	""	""	""	""	""	"5708"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"7"	"1549"	""	""	"171"	""	""	""	"405"	""	""	""	"2833"	""	""	""	""	""	"39"	""	""	""	"13"	""	""	""	""	""	""	"46"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"378"	""	""	""	""	""	""	"28"	""	""	""	""	""	"462"	""	""	""	""	""	"69"	""	""	""	""	""	""	"6018"	""	""	""	""	""	"0"	""	""	""	""	""	"6018"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"8"	"1734"	""	""	"338"	""	""	""	"771"	""	""	""	"1814"	""	""	""	""	""	"31"	""	""	""	"14"	""	""	""	""	""	""	"43"	""	""	""	""	""	""	"31"	""	""	""	""	""	""	"72"	""	""	""	""	""	""	"20"	""	""	""	""	""	"453"	""	""	""	""	""	"67"	""	""	""	""	""	""	"5388"	""	""	""	""	""	"0"	""	""	""	""	""	"5388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"406"	"9"	"1690"	""	""	"110"	""	""	""	"509"	""	""	""	"1926"	""	""	""	""	""	"41"	""	""	""	"13"	""	""	""	""	""	""	"53"	""	""	""	""	""	""	"27"	""	""	""	""	""	""	"62"	""	""	""	""	""	""	"29"	""	""	""	""	""	"974"	""	""	""	""	""	"71"	""	""	""	""	""	""	"5505"	""	""	""	""	""	"0"	""	""	""	""	""	"5505"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"10"	"1545"	""	""	"370"	""	""	""	"343"	""	""	""	"3669"	""	""	""	""	""	"34"	""	""	""	"20"	""	""	""	""	""	""	"59"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"62"	""	""	""	""	""	""	"17"	""	""	""	""	""	"719"	""	""	""	""	""	"65"	""	""	""	""	""	""	"6920"	""	""	""	""	""	"0"	""	""	""	""	""	"6920"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"11"	"1286"	""	""	"411"	""	""	""	"1737"	""	""	""	"1463"	""	""	""	""	""	"21"	""	""	""	"13"	""	""	""	""	""	""	"60"	""	""	""	""	""	""	"26"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"27"	""	""	""	""	""	"1269"	""	""	""	""	""	"49"	""	""	""	""	""	""	"6380"	""	""	""	""	""	"0"	""	""	""	""	""	"6380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"12"	"2757"	""	""	"239"	""	""	""	"567"	""	""	""	"1634"	""	""	""	""	""	"28"	""	""	""	"16"	""	""	""	""	""	""	"51"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"47"	""	""	""	""	""	""	"25"	""	""	""	""	""	"478"	""	""	""	""	""	"46"	""	""	""	""	""	""	"5909"	""	""	""	""	""	"0"	""	""	""	""	""	"5909"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"13"	"1023"	""	""	"107"	""	""	""	"370"	""	""	""	"2802"	""	""	""	""	""	"32"	""	""	""	"19"	""	""	""	""	""	""	"63"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	"29"	""	""	""	""	""	"2026"	""	""	""	""	""	"56"	""	""	""	""	""	""	"6574"	""	""	""	""	""	"0"	""	""	""	""	""	"6574"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"14"	"945"	""	""	"193"	""	""	""	"471"	""	""	""	"2803"	""	""	""	""	""	"39"	""	""	""	"9"	""	""	""	""	""	""	"55"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"7"	""	""	""	""	""	"256"	""	""	""	""	""	"34"	""	""	""	""	""	""	"4841"	""	""	""	""	""	"0"	""	""	""	""	""	"4841"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"15"	"2173"	""	""	"419"	""	""	""	"632"	""	""	""	"2403"	""	""	""	""	""	"45"	""	""	""	"21"	""	""	""	""	""	""	"83"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	"55"	""	""	""	""	""	""	"26"	""	""	""	""	""	"565"	""	""	""	""	""	"90"	""	""	""	""	""	""	"6547"	""	""	""	""	""	"0"	""	""	""	""	""	"6547"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"16"	"951"	""	""	"412"	""	""	""	"219"	""	""	""	"2875"	""	""	""	""	""	"33"	""	""	""	"15"	""	""	""	""	""	""	"56"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"47"	""	""	""	""	""	""	"17"	""	""	""	""	""	"178"	""	""	""	""	""	"90"	""	""	""	""	""	""	"4911"	""	""	""	""	""	"0"	""	""	""	""	""	"4911"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"17"	"872"	""	""	"313"	""	""	""	"553"	""	""	""	"2380"	""	""	""	""	""	"40"	""	""	""	"24"	""	""	""	""	""	""	"65"	""	""	""	""	""	""	"37"	""	""	""	""	""	""	"33"	""	""	""	""	""	""	"24"	""	""	""	""	""	"421"	""	""	""	""	""	"48"	""	""	""	""	""	""	"4810"	""	""	""	""	""	"0"	""	""	""	""	""	"4810"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"18"	"807"	""	""	"71"	""	""	""	"249"	""	""	""	"433"	""	""	""	""	""	"11"	""	""	""	"3"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"3"	""	""	""	""	""	"138"	""	""	""	""	""	"16"	""	""	""	""	""	""	"1768"	""	""	""	""	""	"0"	""	""	""	""	""	"1768"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"Total no. of votes recorded at polling station"	"33508"	""	""	"5988"	""	""	""	"9438"	""	""	""	"39052"	""	""	""	""	""	"625"	""	""	""	"273"	""	""	""	""	""	""	"1067"	""	""	""	""	""	""	"455"	""	""	""	""	""	""	"1969"	""	""	""	""	""	""	"400"	""	""	""	""	""	"11095"	""	""	""	""	""	"1100"	""	""	""	""	""	""	"104970"	""	""	""	""	""	"0"	""	""	""	""	""	"104970"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"No. of vote recorded on postal ballot papers"	"1"	""	""	"0"	""	""	""	"7"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"Total vote polled"	"33509"	""	""	"5988"	""	""	""	"9445"	""	""	""	"39052"	""	""	""	""	""	"625"	""	""	""	"273"	""	""	""	""	""	""	"1067"	""	""	""	""	""	""	"455"	""	""	""	""	""	""	"1969"	""	""	""	""	""	""	"400"	""	""	""	""	""	"11095"	""	""	""	""	""	"1100"	""	""	""	""	""	""	"104978"	""	""	""	""	""	"5"	""	""	""	""	""	"104983"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"419"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"Date     27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
