"Election.to.the.Bihar.Legislative.Assembly.from.the.232.Gaya.Town.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Total"	""	"2372"	""	""	"116"	""	""	""	"675"	""	""	""	""	"475"	""	""	""	""	"16"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"59"	""	""	""	""	""	""	"151"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	"78"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	"4747"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4747"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Election to the Bihar Legislative Assembly from the 232-Gaya Town Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Round"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	"Total no."	""	""	""	""	"Total"	""	""	""	""	""	""	""	""	""	""	""
"311"	"No."	"PREM KUMAR"	""	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	"of votes"	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	""	""	""
"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""	""	""	""
"313"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"314"	"1"	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"315"	"1"	"2647"	""	""	""	"488"	""	""	""	"1104"	""	""	""	""	"574"	""	""	""	""	""	"780"	""	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	""	"96"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	"139"	""	""	""	""	""	""	""	"162"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	"83"	""	""	""	""	""	""	"43"	""	""	""	""	""	""	""	"83"	""	""	""	""	""	""	"6508"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6508"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"2"	"2361"	""	""	""	"299"	""	""	""	"1451"	""	""	""	""	"256"	""	""	""	""	""	"270"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	""	"112"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"101"	""	""	""	""	""	""	""	"110"	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	"131"	""	""	""	""	""	""	"41"	""	""	""	""	""	""	""	"114"	""	""	""	""	""	""	"5607"	""	""	""	""	""	""	""	"0"	""	""	""	""	"5607"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"3"	"2529"	""	""	""	"816"	""	""	""	"1542"	""	""	""	""	"148"	""	""	""	""	""	"120"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	"38"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"82"	""	""	""	""	""	""	""	"45"	""	""	""	""	""	""	"1174"	""	""	""	""	""	""	""	""	""	"104"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"68"	""	""	""	""	""	""	"6732"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6732"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"4"	"3486"	""	""	""	"487"	""	""	""	"1028"	""	""	""	""	"265"	""	""	""	""	""	"166"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	"67"	""	""	""	""	""	""	"24"	""	""	""	""	""	""	"108"	""	""	""	""	""	""	""	"49"	""	""	""	""	""	""	"738"	""	""	""	""	""	""	""	""	""	"85"	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"70"	""	""	""	""	""	""	"6613"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6613"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"5"	"4117"	""	""	""	"312"	""	""	""	"1422"	""	""	""	""	"353"	""	""	""	""	""	"45"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	"180"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"41"	""	""	""	""	""	""	"148"	""	""	""	""	""	""	""	""	""	"88"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"49"	""	""	""	""	""	""	"6807"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6807"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"6"	"3162"	""	""	""	"290"	""	""	""	"2072"	""	""	""	""	"222"	""	""	""	""	""	"113"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"183"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	""	"36"	""	""	""	""	""	""	"64"	""	""	""	""	""	""	""	""	""	"44"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"6271"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6271"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"7"	"2993"	""	""	""	"370"	""	""	""	"1511"	""	""	""	""	"178"	""	""	""	""	""	"72"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"271"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"69"	""	""	""	""	""	""	""	"34"	""	""	""	""	""	""	"105"	""	""	""	""	""	""	""	""	""	"80"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"37"	""	""	""	""	""	""	"5768"	""	""	""	""	""	""	""	"0"	""	""	""	""	"5768"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"8"	"756"	""	""	""	"400"	""	""	""	"2993"	""	""	""	""	"408"	""	""	""	""	""	"286"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"62"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	""	""	""	"34"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"26"	""	""	""	""	""	""	"5063"	""	""	""	""	""	""	""	"0"	""	""	""	""	"5063"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"9"	"2429"	""	""	""	"392"	""	""	""	"719"	""	""	""	""	"563"	""	""	""	""	""	"175"	""	""	""	""	""	""	""	"56"	""	""	""	""	""	""	""	""	"36"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"53"	""	""	""	""	""	""	""	"29"	""	""	""	""	""	""	"51"	""	""	""	""	""	""	""	""	""	"137"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"4683"	""	""	""	""	""	""	""	"0"	""	""	""	""	"4683"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"10"	"3914"	""	""	""	"314"	""	""	""	"1267"	""	""	""	""	"332"	""	""	""	""	""	"46"	""	""	""	""	""	""	""	"61"	""	""	""	""	""	""	""	""	"78"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"64"	""	""	""	""	""	""	""	"50"	""	""	""	""	""	""	"239"	""	""	""	""	""	""	""	""	""	"366"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"48"	""	""	""	""	""	""	"6813"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6813"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"11"	"3450"	""	""	""	"296"	""	""	""	"518"	""	""	""	""	"307"	""	""	""	""	""	"77"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	""	"49"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"118"	""	""	""	""	""	""	""	"42"	""	""	""	""	""	""	"526"	""	""	""	""	""	""	""	""	""	"357"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"86"	""	""	""	""	""	""	"5877"	""	""	""	""	""	""	""	"0"	""	""	""	""	"5877"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"12"	"2796"	""	""	""	"339"	""	""	""	"1613"	""	""	""	""	"603"	""	""	""	""	""	"188"	""	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	""	"67"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"102"	""	""	""	""	""	""	""	"82"	""	""	""	""	""	""	"572"	""	""	""	""	""	""	""	""	""	"116"	""	""	""	""	""	""	"57"	""	""	""	""	""	""	""	"96"	""	""	""	""	""	""	"6668"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6668"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"13"	"3014"	""	""	""	"272"	""	""	""	"2213"	""	""	""	""	"507"	""	""	""	""	""	"110"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	"55"	""	""	""	""	""	""	"32"	""	""	""	""	""	""	"307"	""	""	""	""	""	""	""	"75"	""	""	""	""	""	""	"373"	""	""	""	""	""	""	""	""	""	"81"	""	""	""	""	""	""	"43"	""	""	""	""	""	""	""	"103"	""	""	""	""	""	""	"7205"	""	""	""	""	""	""	""	"0"	""	""	""	""	"7205"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"14"	"2940"	""	""	""	"217"	""	""	""	"2252"	""	""	""	""	"263"	""	""	""	""	""	"171"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	"76"	""	""	""	""	""	""	"86"	""	""	""	""	""	""	"80"	""	""	""	""	""	""	""	"54"	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	"127"	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"67"	""	""	""	""	""	""	"6739"	""	""	""	""	""	""	""	"0"	""	""	""	""	"6739"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"15"	"2372"	""	""	""	"116"	""	""	""	"675"	""	""	""	""	"475"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"59"	""	""	""	""	""	""	"151"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	"78"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""	"4747"	""	""	""	""	""	""	""	"0"	""	""	""	""	"4747"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Total no. of votes recorded at polling station"	"42966"	""	""	""	"5408"	""	""	""	"22380"	""	""	""	""	"5454"	""	""	""	""	""	"2635"	""	""	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	"1385"	""	""	""	""	""	""	"466"	""	""	""	""	""	""	"1368"	""	""	""	""	""	""	""	"848"	""	""	""	""	""	""	"5326"	""	""	""	""	""	""	""	""	""	"1911"	""	""	""	""	""	""	"384"	""	""	""	""	""	""	""	"1249"	""	""	""	""	""	""	"92101"	""	""	""	""	""	""	""	"0"	""	""	""	""	"92101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"No. of vote recorded on postal ballot papers"	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Total vote
polled"	"42967"	""	""	""	"5410"	""	""	""	"22380"	""	""	""	""	"5456"	""	""	""	""	""	"2635"	""	""	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	"1385"	""	""	""	""	""	""	"466"	""	""	""	""	""	""	"1368"	""	""	""	""	""	""	""	"848"	""	""	""	""	""	""	"5326"	""	""	""	""	""	""	""	""	""	"1911"	""	""	""	""	""	""	"384"	""	""	""	""	""	""	""	"1249"	""	""	""	""	""	""	"92106"	""	""	""	""	""	""	""	"1"	""	""	""	""	"92107"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
