"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"
"725"	""	""	""	""	""	""	""	""	""	"0
:c
C)
z in
<-,("	""	""	""	""	":c
(!)
z in z
c(
0"	""	""	""	""	""	"0
m
0."	""	""	""	""	""	"....
c
0.
z:s
:::,
:c
0."	""	""	""	""	""	""	"z
c(
c z w"	""	""	""	""	"z
cz(
0.
:::,
a:
z:s::i&::
:s:"	""	""	""	"c
z
I
0
>="	""	""	""	""	"a:
c(
:e
:::,
>-
:::! w
z m
:::, :::,
U, C"	""	""	""	""	"a:
c(
:e
:::,
o _
z
:::,c:c(
w m"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"726"	"I"	""	""	""	""	"}j"	""	""	""	"16"	""	""	""	""	"17"	""	""	""	""	""	")8"	""	""	""	""	""	"19"	""	""	""	""	""	""	"2U"	""	""	""	""	"21"	""	""	""	"u, 77"	""	""	""	""	"7"	""	""	""	""	"24"	""	""	""	""	"')_"	""	""	""	"?6"	""	""	"LI"	""	""	"LI\"	""	""	""	""	""	""	""	""	""	""
"727"	"201"	""	""	""	""	"103"	""	""	""	"       0"	""	""	""	""	"135"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"241"	""	""	""	""	""	""	""	""	""	""
"728"	"202"	""	""	""	""	"436"	""	""	""	""	""	"  7"	""	""	"76"	""	""	""	""	""	"25"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"560"	""	""	""	""	""	""	""	""	""	""
"729"	"203"	""	""	""	""	"327"	""	""	""	""	""	"11"	""	""	"190"	""	""	""	""	""	"23"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"566"	""	""	""	""	""	""	""	""	""	""
"730"	"204"	""	""	""	""	"224"	""	""	""	"1"	""	""	""	""	"167"	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""
"731"	"205"	""	""	""	""	"380"	""	""	""	"3"	""	""	""	""	"219"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"610"	""	""	""	""	""	""	""	""	""	""
"732"	"206"	""	""	""	""	"302"	""	""	""	"4"	""	""	""	""	"r    59"	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"381"	""	""	""	""	""	""	""	""	""	""
"733"	"207"	""	""	""	""	"572"	""	""	""	"3"	""	""	""	""	"25"	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"619"	""	""	""	""	""	""	""	""	""	""
"734"	"208"	""	""	""	""	"      353
455"	""	""	""	"0"	""	""	""	""	"51"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""
"735"	"209"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	"23"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"489"	""	""	""	""	""	""	""	""	""	""
"736"	"210"	""	""	""	""	"398"	""	""	""	"5"	""	""	""	""	"71"	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"484"	""	""	""	""	""	""	""	""	""	""
"737"	"211"	""	""	""	""	"448"	""	""	""	"12"	""	""	""	""	"146"	""	""	""	""	""	"17"	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"644"	""	""	""	""	""	""	""	""	""	""
"738"	"212"	""	""	""	""	"1'7"	""	""	""	"2"	""	""	""	""	"96"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"216"	""	""	""	""	""	""	""	""	""	""
"739"	"213"	""	""	""	""	"429"	""	""	""	"7"	""	""	""	""	"418"	""	""	""	""	""	"24"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"886"	""	""	""	""	""	""	""	""	""	""
"740"	"214"	""	""	""	""	"381"	""	""	""	"5"	""	""	""	""	"289"	""	""	""	""	""	"10"	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"708"	""	""	""	""	""	""	""	""	""	""
"741"	"215"	""	""	""	""	"510"	""	""	""	"2"	""	""	""	""	"137"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"655"	""	""	""	""	""	""	""	""	""	""
"742"	"216"	""	""	""	""	"453"	""	""	""	"6"	""	""	""	""	"124"	""	""	""	""	""	"12"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"610"	""	""	""	""	""	""	""	""	""	""
"743"	"217"	""	""	""	""	"302"	""	""	""	"1"	""	""	""	""	"11"	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"327"	""	""	""	""	""	""	""	""	""	""
"744"	"218"	""	""	""	""	"475"	""	""	""	"1"	""	""	""	""	"200"	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"686"	""	""	""	""	""	""	""	""	""	""
"745"	"219"	""	""	""	""	"588"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"609"	""	""	""	""	""	""	""	""	""	""
"746"	"220"	""	""	""	""	"65"	""	""	""	"5"	""	""	""	""	"336"	""	""	""	""	""	"11"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""
"747"	"221"	""	""	""	""	"296"	""	""	""	"4"	""	""	""	""	"101"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"405"	""	""	""	""	""	""	""	""	""	""
"748"	"222"	""	""	""	""	"239"	""	""	""	"0"	""	""	""	""	"16"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"258"	""	""	""	""	""	""	""	""	""	""
"749"	"223"	""	""	""	""	"376"	""	""	""	"5"	""	""	""	""	"107"	""	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"499"	""	""	""	""	""	""	""	""	""	""
"750"	"224"	""	""	""	""	"285"	""	""	""	"3"	""	""	""	""	"32"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"327"	""	""	""	""	""	""	""	""	""	""
"751"	"225"	""	""	""	""	"576"	""	""	""	"2"	""	""	""	""	"10"	""	""	""	""	""	"9"	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"617"	""	""	""	""	""	""	""	""	""	""
"752"	"226"	""	""	""	""	"273"	""	""	""	"2"	""	""	""	""	"66"	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	""	"12"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"366"	""	""	""	""	""	""	""	""	""	""
"753"	"227"	""	""	""	""	"353"	""	""	""	"3"	""	""	""	""	"37"	""	""	""	""	""	"8"	""	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""
"754"	"228"	""	""	""	""	"280"	""	""	""	"1"	""	""	""	""	"18"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"303"	""	""	""	""	""	""	""	""	""	""
"755"	"229"	""	""	""	""	"725"	""	""	""	"6"	""	""	""	""	"38"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"m"	""	""	""	""	""	""	""	""	""	""
"756"	"230"	""	""	""	""	"545"	""	""	""	"1"	""	""	""	""	"69"	""	""	""	""	""	"10"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"654"	""	""	""	""	""	""	""	""	""	""
"757"	"231"	""	""	""	""	"166"	""	""	""	"1"	""	""	""	""	"33"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"206"	""	""	""	""	""	""	""	""	""	""
"758"	"232"	""	""	""	""	"257"	""	""	""	"3"	""	""	""	""	"257"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"520"	""	""	""	""	""	""	""	""	""	""
"759"	"233"	""	""	""	""	"476"	""	""	""	"3"	""	""	""	""	"21"	""	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"521"	""	""	""	""	""	""	""	""	""	""
"760"	"234"	""	""	""	""	"- -"	""	""	""	"2"	""	""	""	""	"29"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"286"	""	""	""	""	""	""	""	""	""	""
"761"	"235"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"192"	""	""	""	""	""	""	""	""	""	""
"762"	"236"	""	""	""	""	"312"	""	""	""	"1"	""	""	""	""	"9"	""	""	""	""	""	"11"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""
"763"	"237"	""	""	""	""	"....   232"	""	""	""	"        0"	""	""	""	""	"26"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"262"	""	""	""	""	""	""	""	""	""	""
"764"	"238"	""	""	""	""	"195"	""	""	""	"2"	""	""	""	""	"319"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"521"	""	""	""	""	""	""	""	""	""	""
"765"	"239"	""	""	""	""	"513"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	""	"14"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"547"	""	""	""	""	""	""	""	""	""	""
"766"	"240"	""	""	""	""	"281"	""	""	""	"2"	""	""	""	""	"167"	""	""	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"475"	""	""	""	""	""	""	""	""	""	""
"767"	"241"	""	""	""	""	"209"	""	""	""	"0"	""	""	""	""	"130"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""
"768"	"242"	""	""	""	""	"91"	""	""	""	"0"	""	""	""	""	"148"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"242"	""	""	""	""	""	""	""	""	""	""
"769"	"243"	""	""	""	""	"216"	""	""	""	"1"	""	""	""	""	"102"	""	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""
"770"	"244"	""	""	""	""	"313"	""	""	""	"0"	""	""	""	""	"24"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"343"	""	""	""	""	""	""	""	""	""	""
"771"	"245"	""	""	""	""	"169"	""	""	""	"3"	""	""	""	""	"46"	""	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"234"	""	""	""	""	""	""	""	""	""	""
"772"	"246"	""	""	""	""	"251"	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"10"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"269"	""	""	""	""	""	""	""	""	""	""
"773"	"247"	""	""	""	""	"310"	""	""	""	"5"	""	""	""	""	"55"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""
"774"	"248"	""	""	""	""	"226"	""	""	""	"0"	""	""	""	""	"163"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"394"	""	""	""	""	""	""	""	""	""	""
"775"	"249"	""	""	""	""	"145"	""	""	""	"0"	""	""	""	""	"90"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""
"776"	"250"	""	""	""	""	"440"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"465"	""	""	""	""	""	""	""	""	""	""
"777"	"251"	""	""	""	""	"134"	""	""	""	"3"	""	""	""	""	"45"	""	""	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"198"	""	""	""	""	""	""	""	""	""	""
"778"	"252"	""	""	""	""	"494"	""	""	""	"3"	""	""	""	""	"21"	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	""	"9"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"540"	""	""	""	""	""	""	""	""	""	""
"779"	"253"	""	""	""	""	"163"	""	""	""	"0"	""	""	""	""	"19"	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"192"	""	""	""	""	""	""	""	""	""	""
