"Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"571"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"572"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"573"	"218"	""	"91"	""	"157"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"267"	""	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""
"574"	"218A"	""	"36"	""	"302"	""	""	""	"1"	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"359"	""	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	""	""	""
"575"	"219"	""	"273"	""	"182"	""	""	""	"1"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"472"	""	""	""	""	""	""	"472"	""	""	""	""	""	""	""	""	""	""	""
"576"	"219A"	""	"176"	""	"51"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"232"	""	""	""	""	""	""	"232"	""	""	""	""	""	""	""	""	""	""	""
"577"	"220"	""	"77"	""	"296"	""	""	""	"4"	""	""	"37"	""	""	""	""	""	"3"	""	""	""	""	"17"	""	""	""	"1"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"11"	""	""	"2"	""	""	""	"3"	""	""	""	"12"	""	""	""	"471"	""	""	""	""	""	""	"471"	""	""	""	""	""	""	""	""	""	""	""
"578"	"220A"	""	"181"	""	"303"	""	""	""	"10"	""	""	"18"	""	""	""	""	""	"12"	""	""	""	""	"10"	""	""	""	"3"	""	""	""	"7"	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	"3"	""	""	""	"6"	""	""	""	"9"	""	""	""	"573"	""	""	""	""	""	""	"573"	""	""	""	""	""	""	""	""	""	""	""
"579"	"221"	""	"81"	""	"120"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"218"	""	""	""	""	""	""	"218"	""	""	""	""	""	""	""	""	""	""	""
"580"	"222"	""	"245"	""	"202"	""	""	""	"0"	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	"12"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	""	"473"	""	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""	""
"581"	"223"	""	"180"	""	"2"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"190"	""	""	""	""	""	""	"190"	""	""	""	""	""	""	""	""	""	""	""
"582"	"224"	""	"294"	""	"106"	""	""	""	"2"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	"0"	""	""	""	"1"	""	""	""	"8"	""	""	""	"424"	""	""	""	""	""	""	"424"	""	""	""	""	""	""	""	""	""	""	""
"583"	"225"	""	"66"	""	"228"	""	""	""	"3"	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"317"	""	""	""	""	""	""	"317"	""	""	""	""	""	""	""	""	""	""	""
"584"	"225A"	""	"211"	""	"55"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"7"	""	""	""	"277"	""	""	""	""	""	""	"277"	""	""	""	""	""	""	""	""	""	""	""
"585"	"226"	""	"235"	""	"87"	""	""	""	"2"	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"339"	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""
"586"	"227"	""	"267"	""	"6"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"286"	""	""	""	""	""	""	"286"	""	""	""	""	""	""	""	""	""	""	""
"587"	"Total"	""	"2413"	""	"2097"	""	""	""	"29"	""	""	"101"	""	""	""	""	""	"18"	""	""	""	""	"64"	""	""	""	"12"	""	""	""	"15"	""	""	""	"19"	""	""	""	""	""	"15"	""	""	""	""	"33"	""	""	"9"	""	""	""	"17"	""	""	""	"56"	""	""	""	"4898"	""	""	""	""	""	""	"4898"	""	""	""	"0"	""	""	""	""	""	""	""
"588"	"Till Last Round"	""	"22381"	""	"78501"	""	""	""	"913"	""	""	"2582"	""	""	""	""	""	"725"	""	""	""	""	"1690"	""	""	""	"232"	""	""	""	"162"	""	""	""	"227"	""	""	""	""	""	"408"	""	""	""	""	"271"	""	""	"249"	""	""	""	"309"	""	""	""	"887"	""	""	""	"109537"	""	""	""	"0"	""	""	"109537"	""	""	""	"0"	""	""	""	""	""	""	""
"589"	"Grand Total"	""	"24794"	""	"80598"	""	""	""	"942"	""	""	"2683"	""	""	""	""	""	"743"	""	""	""	""	"1754"	""	""	""	"244"	""	""	""	"177"	""	""	""	"246"	""	""	""	""	""	"423"	""	""	""	""	"304"	""	""	"258"	""	""	""	"326"	""	""	""	"943"	""	""	""	"114435"	""	""	""	"0"	""	""	"114435"	""	""	""	"0"	""	""	""	""	""	""	""
"590"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"591"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"592"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"593"	"Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"594"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"595"	"(To be used both for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"596"	"ROUND-26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"597"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"598"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"599"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"600"	"228"	""	"270"	""	"6"	""	""	""	"4"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"3"	""	""	""	"10"	""	""	""	"304"	""	""	""	""	""	""	"304"	""	""	""	""	""	""	""	""	""	""	""
"601"	"229"	""	"180"	""	"74"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"263"	""	""	""	""	""	""	"263"	""	""	""	""	""	""	""	""	""	""	""
"602"	"230"	""	"335"	""	"12"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"360"	""	""	""	""	""	""	"360"	""	""	""	""	""	""	""	""	""	""	""
"603"	"231"	""	"263"	""	"58"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"10"	""	""	""	"347"	""	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	""	""	""
"604"	"232"	""	"137"	""	"242"	""	""	""	"7"	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	"2"	""	""	""	"408"	""	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""	""	""	""
"605"	"233"	""	"60"	""	"222"	""	""	""	"4"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	"3"	""	""	""	"2"	""	""	""	"2"	""	""	""	"307"	""	""	""	""	""	""	"307"	""	""	""	""	""	""	""	""	""	""	""
"606"	"234"	""	"209"	""	"297"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	"3"	""	""	""	"0"	""	""	""	"5"	""	""	""	"526"	""	""	""	""	""	""	"526"	""	""	""	""	""	""	""	""	""	""	""
"607"	"235"	""	"68"	""	"323"	""	""	""	"3"	""	""	"11"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"3"	""	""	""	"3"	""	""	""	"1"	""	""	""	"420"	""	""	""	""	""	""	"420"	""	""	""	""	""	""	""	""	""	""	""
"608"	"236"	""	"82"	""	"343"	""	""	""	"2"	""	""	"15"	""	""	""	""	""	"3"	""	""	""	""	"19"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"4"	""	""	""	"4"	""	""	""	"476"	""	""	""	""	""	""	"476"	""	""	""	""	""	""	""	""	""	""	""
"609"	"237"	""	"199"	""	"103"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"2"	""	""	""	"0"	""	""	""	"5"	""	""	""	"327"	""	""	""	""	""	""	"327"	""	""	""	""	""	""	""	""	""	""	""
"610"	"238"	""	"34"	""	"230"	""	""	""	"1"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	"276"	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	""	""	""
"611"	"238A"	""	"76"	""	"224"	""	""	""	"3"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	""	"6"	""	""	""	"326"	""	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""
"612"	"239"	""	"238"	""	"87"	""	""	""	"1"	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"346"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""
"613"	"240"	""	"78"	""	"408"	""	""	""	"4"	""	""	"11"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"6"	""	""	""	"522"	""	""	""	""	""	""	"522"	""	""	""	""	""	""	""	""	""	""	""
"614"	"Total"	""	"2229"	""	"2629"	""	""	""	"30"	""	""	"74"	""	""	""	""	""	"17"	""	""	""	""	"48"	""	""	""	"6"	""	""	""	"15"	""	""	""	"19"	""	""	""	""	""	"22"	""	""	""	""	"13"	""	""	"21"	""	""	""	"24"	""	""	""	"61"	""	""	""	"5208"	""	""	""	""	""	""	"5208"	""	""	""	"0"	""	""	""	""	""	""	""
"615"	"Till Last Round"	""	"24794"	""	"80598"	""	""	""	"942"	""	""	"2683"	""	""	""	""	""	"743"	""	""	""	""	"1754"	""	""	""	"244"	""	""	""	"177"	""	""	""	"246"	""	""	""	""	""	"423"	""	""	""	""	"304"	""	""	"258"	""	""	""	"326"	""	""	""	"943"	""	""	""	"114435"	""	""	""	"0"	""	""	"114435"	""	""	""	"0"	""	""	""	""	""	""	""
"616"	"Grand Total"	""	"27023"	""	"83227"	""	""	""	"972"	""	""	"2757"	""	""	""	""	""	"760"	""	""	""	""	"1802"	""	""	""	"250"	""	""	""	"192"	""	""	""	"265"	""	""	""	""	""	"445"	""	""	""	""	"317"	""	""	"279"	""	""	""	"350"	""	""	""	"1004"	""	""	""	"119643"	""	""	""	"0"	""	""	"119643"	""	""	""	"0"	""	""	""	""	""	""	""
"617"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"618"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"619"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"620"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"621"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"622"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"623"	"241"	""	"26"	""	"193"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"229"	""	""	""	""	""	""	"229"	""	""	""	""	""	""	""	""	""	""	""
"624"	"241A"	""	"27"	""	"277"	""	""	""	"1"	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"326"	""	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""
"625"	"242"	""	"21"	""	"292"	""	""	""	"0"	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"1"	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"346"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""
"626"	"242A"	""	"61"	""	"288"	""	""	""	"3"	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"375"	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""
"627"	"243"	""	"34"	""	"312"	""	""	""	"5"	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"374"	""	""	""	""	""	""	"374"	""	""	""	""	""	""	""	""	""	""	""
"628"	"243A"	""	"46"	""	"242"	""	""	""	"1"	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"312"	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""
"629"	"244"	""	"71"	""	"176"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"260"	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""
"630"	"244A"	""	"28"	""	"244"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"278"	""	""	""	""	""	""	"278"	""	""	""	""	""	""	""	""	""	""	""
"631"	"245"	""	"145"	""	"298"	""	""	""	"1"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"454"	""	""	""	""	""	""	"454"	""	""	""	""	""	""	""	""	""	""	""
"632"	"246"	""	"298"	""	"53"	""	""	""	"1"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"362"	""	""	""	""	""	""	"362"	""	""	""	""	""	""	""	""	""	""	""
"633"	"247"	""	"253"	""	"164"	""	""	""	"0"	""	""	"13"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"8"	""	""	""	"450"	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""
"634"	"248"	""	"114"	""	"249"	""	""	""	"3"	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	""	"387"	""	""	""	""	""	""	"387"	""	""	""	""	""	""	""	""	""	""	""
"635"	"249"	""	"242"	""	"95"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	""	"357"	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""	""	""	""	""
"636"	"250"	""	"26"	""	"291"	""	""	""	"1"	""	""	"15"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"352"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""
"637"	"Total"	""	"1392"	""	"3174"	""	""	""	"20"	""	""	"85"	""	""	""	""	""	"28"	""	""	""	""	"48"	""	""	""	"8"	""	""	""	"4"	""	""	""	"23"	""	""	""	""	""	"10"	""	""	""	""	"20"	""	""	"7"	""	""	""	"13"	""	""	""	"30"	""	""	""	"4862"	""	""	""	""	""	""	"4862"	""	""	""	"0"	""	""	""	""	""	""	""
