"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"
"363"	"5"	""	"248"	""	""	"0"	""	""	"10"	""	""	""	"260"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"29"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"301"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"6"	""	"249"	""	""	"0"	""	""	"14"	""	""	""	"318"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"41"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"377"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"7"	""	"250"	""	""	"17"	""	""	"37"	""	""	""	"206"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	""	""	""	"298"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"8"	""	"251"	""	""	"4"	""	""	"20"	""	""	""	"88"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"50"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	""	""	"187"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"187"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"9"	""	"252"	""	""	"3"	""	""	"130"	""	""	""	"11"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	""	"165"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"165"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"10"	""	"253"	""	""	"5"	""	""	"52"	""	""	""	"173"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	""	""	"245"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"245"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"11"	""	"253A"	""	""	"9"	""	""	"55"	""	""	""	"34"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	""	""	"125"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"125"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"12"	""	"254"	""	""	"36"	""	""	"101"	""	""	""	"47"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	"214"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"214"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"13"	""	"255"	""	""	"63"	""	""	"34"	""	""	""	"84"	""	""	""	""	"12"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	"14"	""	""	""	""	""	""	""	"240"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"240"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"14"	""	"256"	""	""	"2"	""	""	"47"	""	""	""	"221"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"271"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"271"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"Total"	""	""	""	""	"198"	""	""	"688"	""	""	""	"2284"	""	""	""	""	"47"	""	""	""	""	"37"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"245"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	""	"27"	""	""	""	""	"63"	""	""	""	""	""	""	""	"3695"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3695"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"Date   22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	"19"	""	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"1"	""	"257"	""	""	"36"	""	"77"	""	""	"207"	""	""	""	"15"	""	""	""	""	"9"	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"374"	""	""	""	""	""	""	"0"	""	""	""	""	"374"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"2"	""	"258"	""	""	"68"	""	"96"	""	""	"70"	""	""	""	"9"	""	""	""	""	"13"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"283"	""	""	""	""	""	""	"0"	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"3"	""	"259"	""	""	"29"	""	"74"	""	""	"132"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	"68"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"335"	""	""	""	""	""	""	"0"	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"4"	""	"260"	""	""	"10"	""	"236"	""	""	"72"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"38"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"385"	""	""	""	""	""	""	"0"	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"5"	""	"261"	""	""	"3"	""	"98"	""	""	"106"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"66"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"285"	""	""	""	""	""	""	"0"	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"6"	""	"262"	""	""	"10"	""	"93"	""	""	"40"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"279"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"437"	""	""	""	""	""	""	"0"	""	""	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"7"	""	"262A"	""	""	"13"	""	"141"	""	""	"22"	""	""	""	"12"	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	"54"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"258"	""	""	""	""	""	""	"0"	""	""	""	""	"258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"8"	""	"263"	""	""	"18"	""	"131"	""	""	"97"	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"302"	""	""	""	""	""	""	"0"	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"9"	""	"264"	""	""	"11"	""	"113"	""	""	"84"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"55"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	"291"	""	""	""	""	""	""	"0"	""	""	""	""	"291"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"10"	""	"264A"	""	""	"20"	""	"170"	""	""	"80"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"319"	""	""	""	""	""	""	"0"	""	""	""	""	"319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"11"	""	"265"	""	""	"5"	""	"78"	""	""	"154"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	"52"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"304"	""	""	""	""	""	""	"0"	""	""	""	""	"304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"12"	""	"266"	""	""	"10"	""	"52"	""	""	"103"	""	""	""	"12"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"196"	""	""	""	""	""	""	"0"	""	""	""	""	"196"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"Total"	""	""	""	""	"233"	""	"1359"	""	""	"1167"	""	""	""	"75"	""	""	""	""	"42"	""	""	""	""	""	"23"	""	""	""	""	""	""	"683"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"29"	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"66"	""	""	""	""	""	"3769"	""	""	""	""	""	""	"0"	""	""	""	""	"3769"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"Place   Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"Date    22-11-2005                                                                                                                                                                                       Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"Election to the Bihar Legislative Assembly from the 238- Atri Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"219612"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	""	""	""	"AMRENDRA SINGH"	""	""	"KUNTI DEVI"	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNAT H GOSWAMI"	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	""	"RAMCHAN DRA MANJHI"	""	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"1"	""	""	"2"	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"1"	""	""	"549"	""	""	"1531"	""	""	"1249"	""	""	""	"65"	""	""	""	""	"51"	""	""	""	""	"37"	""	""	""	""	""	""	"802"	""	""	""	""	""	""	""	"29"	""	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	""	"63"	""	""	""	""	"4482"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4482"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"2"	""	""	"167"	""	""	"2557"	""	""	"434"	""	""	""	"80"	""	""	""	""	"50"	""	""	""	""	"24"	""	""	""	""	""	""	"309"	""	""	""	""	""	""	""	"29"	""	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"29"	""	""	""	""	""	""	"32"	""	""	""	""	""	""	""	"81"	""	""	""	""	""	""	""	""	"75"	""	""	""	""	"3927"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3927"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"3"	""	""	"127"	""	""	"2862"	""	""	"172"	""	""	""	"25"	""	""	""	""	"21"	""	""	""	""	"22"	""	""	""	""	""	""	"695"	""	""	""	""	""	""	""	"38"	""	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"30"	""	""	""	""	""	""	""	""	"70"	""	""	""	""	"4115"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
